,test,station,acc_train,acc
0,SCT,4210,-1.40187883975769,0.5
0,SCT,4270,-1.40187883975769,0.5
0,SCT,6030,-1.40187883975769,0.5
0,SCT,6071,-1.40187883975769,0.5
0,SCT,4382,-1.40187883975769,0.5
0,SCT,6151,-1.40187883975769,0.5
0,SCT,4250,-1.40187883975769,0.5
0,SCT,6075,-1.40187883975769,0.5
0,SCT,6069,-1.40187883975769,0.5
0,SCT,6142,-1.40187883975769,0.5
0,SCT,4373,-1.40187883975769,0.5
0,SCT,4231,-1.40187883975769,0.5
0,SCT,6079,-1.40187883975769,0.5
0,SCT,4339,-1.40187883975769,0.5
0,SCT,4312,-1.40187883975769,0.5
0,SCT,4242,-1.40187883975769,0.5
0,SCT,6052,-1.40187883975769,0.5
0,SCT,6165,-1.40187883975769,0.5
0,SCT,6009,-1.40187883975769,0.5
0,SCT,6041,-1.40187883975769,0.5
0,SCT,4214,-1.40187883975769,0.5
0,SCT,4230,-1.40187883975769,0.5
0,SCT,6124,-1.40187883975769,0.5
0,SCT,6108,-1.40187883975769,0.5
0,SCT,6070,-1.40187883975769,0.5
0,SCT,4301,-1.40187883975769,0.5
0,SCT,4285,-1.40187883975769,0.5
0,SCT,4253,-1.40187883975769,0.5
0,SCT,4272,-1.40187883975769,0.5
0,SCT,6193,-1.40187883975769,0.5
0,SCT,6191,-1.40187883975769,0.5
0,SCT,6180,-1.40187883975769,0.5
0,SCT,6104,-1.40187883975769,0.5
0,SCT,6096,-1.40187883975769,0.5
0,SCT,4330,-1.40187883975769,0.5
0,SCT,4201,-1.40187883975769,0.5
0,SCT,6100,-1.40187883975769,0.5
0,SCT,4202,-1.40187883975769,0.5
0,SCT,4266,-1.40187883975769,0.5
0,SCT,6184,-1.40187883975769,0.5
0,SCT,6081,-1.40187883975769,0.5
0,SCT,4207,-1.40187883975769,0.5
0,SCT,6120,-1.40187883975769,0.5
0,SCT,4203,-1.40187883975769,0.5
0,SCT,4221,-1.40187883975769,0.5
0,SCT,4351,-1.40187883975769,0.5
0,SCT,6010,-1.40187883975769,0.5
0,SCT,4313,-1.40187883975769,0.5
0,SCT,6005,-1.40187883975769,0.5
0,SCT,4228,-1.40187883975769,0.5
0,SCT,4320,-1.40187883975769,0.5
0,SCT,6011,-1.40187883975769,0.5
0,BuddyCheck,6159,-1.40187883975769,0.5
0,BuddyCheck,6043,-1.40187883975769,0.5
0,BuddyCheck,6119,-1.40187883975769,0.5
0,BuddyCheck,6149,-1.40187883975769,0.5
0,BuddyCheck,6181,-1.40187883975769,0.5
0,BuddyCheck,6080,-1.40187883975769,0.5
0,BuddyCheck,6170,-1.40187883975769,0.5
0,BuddyCheck,6060,-1.40187883975769,0.5
0,BuddyCheck,6110,-1.40187883975769,0.5
0,BuddyCheck,6058,-1.40187883975769,0.5
0,BuddyCheck,4217,-1.40187883975769,0.5
0,BuddyCheck,4310,-1.40187883975769,0.5
0,BuddyCheck,4390,-1.40187883975769,0.5
0,BuddyCheck,4360,-1.40187883975769,0.5
0,BuddyCheck,5700,-1.40187883975769,0.5
0,BuddyCheck,4220,-1.40187883975769,0.5
0,BuddyCheck,4260,-1.40187883975769,0.5
0,BuddyCheck,4208,-1.40187883975769,0.5
0,BuddyCheck,6179,-1.40187883975769,0.5
0,BuddyCheck,6169,-1.40187883975769,0.5
0,BuddyCheck,6190,-1.40187883975769,0.5
0,BuddyCheck,6160,-1.40187883975769,0.5
0,BuddyCheck,4210,-1.40187883975769,0.5
0,BuddyCheck,4270,-1.40187883975769,0.5
0,BuddyCheck,6030,-1.40187883975769,0.5
